test_split,k,accuracy,distance
0.4,6,0.9087591240875912,Manhattan
0.4,6,0.043795620437956206,Jaccard
0.4,6,0.6277372262773723,Mahalanobis
0.4,7,0.8321167883211679,Euclidean
0.4,7,0.6277372262773723,Cosine
0.4,7,0.9197080291970803,Manhattan
0.4,7,0.040145985401459854,Jaccard
0.4,7,0.6277372262773723,Mahalanobis
0.4,8,0.7773722627737226,Euclidean
0.4,8,0.6277372262773723,Cosine
0.4,8,0.8978102189781022,Manhattan
0.4,8,0.040145985401459854,Jaccard
0.4,8,0.6277372262773723,Mahalanobis
0.4,9,0.7846715328467153,Euclidean
0.4,9,0.6277372262773723,Cosine
0.4,9,0.9051094890510949,Manhattan
0.4,9,0.040145985401459854,Jaccard
0.4,9,0.6277372262773723,Mahalanobis
0.4,10,0.7591240875912408,Euclidean
0.4,10,0.6277372262773723,Cosine
0.4,10,0.8868613138686131,Manhattan
0.4,10,0.040145985401459854,Jaccard
0.4,10,0.6277372262773723,Mahalanobis
